"Test","Threshold","Mean","SE"
"Factor A","0.01",0.0094403776151046,0.000305799777678689
"Factor A","0.05",0.0496119844793792,0.000686666636770189
"Factor A","0.10",0.0990139605584223,0.000944516216480832
"Factor B","0.01",0.00985029550886527,0.000312303773973781
"Factor B","0.05",0.0507315219456584,0.000693961931407953
"Factor B","0.10",0.100213006390192,0.000949585496309301
"Interaction AB","0.01",0.01002,0.000314955533321578
"Interaction AB","0.05",0.04989,0.000688487196065542
"Interaction AB","0.10",0.09999,0.000948645876125534
